2013 Congressional Districts,Zip Code,Zip Code Name,Zip Code Type,Zip Code Area Name,Percent of Population,Single Location Zip Code
02,95556,Orleans,Po Box,Orleans,100.0,
02,95558,Petrolia,Non Unique,Petrolia,100.0,
02,95559,Phillipsville,Po Box,Phillipsville,100.0,
02,95560,Redway,Non Unique,Redway,100.0,
02,95562,Rio Dell,Non Unique,Rio Dell,100.0,
02,95563,Salyer,Po Box,Salyer,100.0,
02,95564,Samoa,Non Unique,Samoa,100.0,
02,95565,Scotia,Non Unique,Scotia,100.0,
02,95567,Smith River,Non Unique,Smith River,100.0,
02,95568,Somes Bar,Non Unique,Somes Bar,0.0,
02,95569,Redcrest,Non Unique,Redcrest,100.0,
02,95570,Trinidad,Non Unique,Trinidad,100.0,
02,95571,Weott,Po Box,Weott,100.0,
02,95573,Willow Creek,Non Unique,Willow Creek,100.0,
02,95585,Leggett,Non Unique,Leggett,100.0,
02,95587,Piercy,Non Unique,Piercy,100.0,
02,95589,Whitethorn,Non Unique,Whitethorn,100.0,
02,95595,Zenia,Non Unique,Zenia,100.0,
02,95939,Elk Creek,Non Unique,Elk Creek,0.0,
02,95963,Orland,Non Unique,Orland,0.0,
02,96010,Big Bar,Non Unique,Big Bar,100.0,
02,96014,Callahan,Non Unique,Callahan,0.0,
02,96017,Castella,Non Unique,Castella,0.0,
02,96024,Douglas City,Non Unique,Douglas City,100.0,
02,96031,Forks Of Salmon,Non Unique,Forks Of Salmon,41.3,
02,96033,French Gulch,Non Unique,French Gulch,0.0,
02,96039,Happy Camp,Non Unique,Happy Camp,0.0,
02,96041,Hayfork,Non Unique,Hayfork,100.0,
02,96046,Hyampom,Po Box,Hyampom,100.0,
02,96047,Igo,Non Unique,Igo,0.0,
02,96048,Junction City,Non Unique,Junction City,100.0,
02,96051,Lakehead,Non Unique,Lakehead,0.0,
02,96052,Lewiston,Non Unique,Lewiston,100.0,
02,96067,Mount Shasta,Non Unique,Mount Shasta,0.0,
02,96076,Platina,Non Unique,Platina,19.4,
02,96080,Red Bluff,Non Unique,Red Bluff,0.0,
02,96091,Trinity Center,Non Unique,Trinity Center,100.0,
02,96093,Weaverville,Po Box,Weaverville,100.0,
02,96094,Weed,Non Unique,Weed,0.0,
03,94503,American Canyon,Non Unique,American Canyon,0.0,
03,94510,Benicia,Non Unique,Benicia,1.5,
03,94511,Bethel Island,Po Box,Bethel Island,0.0,
03,94512,Birds Landing,Non Unique,Birds Landing,100.0,
03,94533,Fairfield,Non Unique,Fairfield,100.0,
03,94534,Fairfield,Non Unique,Fairfield,100.0,
03,94535,Travis Afb,Non Unique,Travis Afb,100.0,
03,94558,Napa,Non Unique,Napa,0.0,
03,94571,Rio Vista,Non Unique,Rio Vista,100.0,
03,94585,Suisun City,Non Unique,Suisun City,100.0,
03,94591,Vallejo,Non Unique,Vallejo,0.0,
03,95242,Lodi,Non Unique,Lodi,0.0,
03,95422,Clearlake,Non Unique,Clearlake,100.0,
03,95423,Clearlake Oaks,Non Unique,Clearlake Oaks,100.0,
03,95428,Covelo,Non Unique,Covelo,0.0,
03,95443,Glenhaven,Non Unique,Glenhaven,100.0,
03,95451,Kelseyville,Non Unique,Kelseyville,0.1,
03,95453,Lakeport,Non Unique,Lakeport,38.1,
03,95457,Lower Lake,Non Unique,Lower Lake,44.2,
03,95458,Lucerne,Non Unique,Lucerne,100.0,
03,95461,Middletown,Non Unique,Middletown,0.0,
03,95464,Nice,Non Unique,Nice,100.0,
03,95469,Potter Valley,Non Unique,Potter Valley,3.7,
03,95482,Ukiah,Non Unique,Ukiah,0.0,
03,95485,Upper Lake,Non Unique,Upper Lake,100.0,
03,95490,Willits,Non Unique,Willits,0.0,
03,95493,Witter Springs,Non Unique,Witter Springs,100.0,
03,95605,West Sacramento,Non Unique,West Sacramento,0.0,
03,95606,Brooks,Non Unique,Brooks,100.0,
03,95607,Capay,Non Unique,Capay,100.0,
03,95612,Clarksburg,Non Unique,Clarksburg,99.8,
03,95615,Courtland,Non Unique,Courtland,100.0,
03,95616,Davis,Non Unique,Davis,100.0,
03,95617,Davis,Po Box,Davis,,*
03,95618,Davis,Non Unique,Davis,100.0,
03,95620,Dixon,Non Unique,Dixon,100.0,
